RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
394404,10,"Boston, MA",msa,MA,446479.0,443317.0,442376.0,441629.0,441937.0,443740.0,448500.0,454805.0,456405.0,458770.0,456502.0,456963.0,453835.0,457029.0,459746.0,460839.0,463790.0,466820.0,474066.0,484115.0,494169.0,494086.0,488577.0,486470.0,500736.0,522504.0,537109.0,539234.0,537036.0,539051.0,546149.0,554733.0,567803.0,579198.0,591292.0,593862.0,596387.0,593664.0,594009.0,598524.0,601251.0,600850.0,600017.0,610880.0,628732.0,648285.0,660712.0,661784.0,656891.0,646669.0,641324.0,636724.0,627219.0,618998.0,611920.0,619358.0,630808.0,649097.0,663879.0,679199.0,683033.0,680824.0,678989.0,675644.0,669142.0,664668.0,668386.0,686668.0,697322.0,709326.0,716920.0,720779.0,720309.0,711342.0,711327.0,710165.0,716908.0
394976,11,"Phoenix, AZ",msa,AZ,260978.0,260530.0,260205.0,260871.0,261596.0,263598.0,264554.0,266956.0,267174.0,268999.0,270705.0,272845.0,275167.0,276753.0,279720.0,281642.0,284434.0,287698.0,292062.0,296893.0,298470.0,298059.0,298837.0,304643.0,313861.0,322335.0,328623.0,333267.0,335607.0,340406.0,347029.0,356428.0,364643.0,375157.0,384785.0,394160.0,400509.0,407323.0,413840.0,420501.0,426408.0,432660.0,440718.0,450025.0,461098.0,469361.0,473672.0,468918.0,460432.0,451296.0,448138.0,441909.0,434216.0,426820.0,422519.0,424252.0,426030.0,431949.0,436606.0,439587.0,441725.0,442668.0,444454.0,448211.0,450197.0,450340.0,450454.0,453270.0,458295.0,459495.0,458194.0,453525.0,450559.0,449600.0,451641.0,457380.0,460963.0
395057,12,"San Francisco, CA",msa,CA,914764.0,909751.0,920102.0,922300.0,911385.0,894454.0,902080.0,913686.0,923806.0,922331.0,921341.0,912239.0,898997.0,896351.0,910179.0,916255.0,922812.0,914216.0,921669.0,925778.0,923538.0,915728.0,919888.0,950149.0,990204.0,1024251.0,1037777.0,,1041242.0,1052922.0,1079751.0,1113210.0,1155256.0,1185806.0,1211629.0,1214216.0,1212885.0,1212421.0,1208999.0,1209376.0,1191386.0,1189510.0,1215950.0,1256074.0,1302721.0,1324019.0,1330777.0,1294146.0,1245928.0,1213129.0,1201698.0,1187909.0,1163475.0,1133207.0,1104526.0,1113462.0,1128390.0,1150368.0,1166877.0,1174244.0,1185897.0,1193637.0,1204023.0,1221282.0,1200602.0,1187636.0,1190181.0,1225541.0,1266668.0,1276096.0,1262920.0,1248542.0,1222664.0,1217504.0,1220094.0,1231857.0,1228204.0
395025,13,"Riverside, CA",msa,CA,357181.0,358978.0,357999.0,357017.0,353883.0,353673.0,355489.0,358027.0,360367.0,363066.0,365116.0,367228.0,369518.0,372672.0,376471.0,376873.0,377292.0,377307.0,380823.0,384915.0,384278.0,382801.0,384829.0,394216.0,406568.0,417558.0,424835.0,430306.0,434448.0,438750.0,444658.0,452879.0,463043.0,472322.0,480545.0,486997.0,493090.0,496352.0,500884.0,505599.0,514149.0,521585.0,528513.0,536354.0,546216.0,553852.0,556288.0,548943.0,542349.0,534772.0,531464.0,520536.0,512206.0,505922.0,511019.0,513103.0,517805.0,522540.0,527096.0,529220.0,530684.0,530869.0,535920.0,538501.0,542788.0,543896.0,546462.0,553643.0,562807.0,566338.0,567966.0,567352.0,568253.0,566360.0,568210.0,571878.0,577103.0
394532,14,"Detroit, MI",msa,MI,167723.0,164862.0,161611.0,162501.0,163270.0,162207.0,163667.0,165287.0,167444.0,169106.0,170975.0,175689.0,176415.0,176448.0,174149.0,174696.0,175287.0,176344.0,175991.0,180782.0,186909.0,182533.0,182358.0,186815.0,197786.0,201785.0,199969.0,203440.0,202740.0,202246.0,198991.0,196839.0,199578.0,207054.0,212201.0,214950.0,214660.0,216632.0,217480.0,218672.0,217687.0,213817.0,213067.0,210897.0,214753.0,218435.0,226819.0,230969.0,231781.0,225756.0,223125.0,218566.0,214929.0,209618.0,214037.0,216377.0,219443.0,220355.0,226257.0,230582.0,230216.0,228185.0,227026.0,225529.0,224404.0,222509.0,224899.0,226730.0,231641.0,235875.0,240548.0,244827.0,244607.0,244165.0,243415.0,245200.0,248641.0
395078,15,"Seattle, WA",msa,WA,460110.0,453552.0,449457.0,447750.0,448987.0,451861.0,462232.0,471457.0,480035.0,485172.0,484580.0,481618.0,476736.0,475128.0,479499.0,483882.0,495236.0,498548.0,509452.0,515716.0,522683.0,513454.0,512992.0,518742.0,540598.0,558945.0,571943.0,578040.0,576325.0,581272.0,589790.0,608350.0,626770.0,649928.0,661744.0,670418.0,667093.0,662476.0,661832.0,661754.0,668950.0,668858.0,685523.0,710288.0,746708.0,762561.0,755555.0,731302.0,709060.0,702220.0,703215.0,700344.0,688473.0,677259.0,671187.0,671450.0,671769.0,682711.0,697594.0,706755.0,710187.0,707918.0,713535.0,716179.0,713833.0,706508.0,709092.0,722969.0,739444.0,748232.0,751840.0,758000.0,759463.0,756770.0,761059.0,765215.0,764007.0
394865,16,"Minneapolis, MN",msa,MN,250583.0,250550.0,253346.0,255647.0,257733.0,259726.0,261852.0,265876.0,267433.0,268472.0,268402.0,268804.0,270039.0,270090.0,271352.0,272536.0,275169.0,275329.0,276662.0,279649.0,283617.0,282744.0,281144.0,283454.0,291368.0,298144.0,304376.0,306280.0,308002.0,306908.0,308258.0,311143.0,315733.0,321397.0,325078.0,327659.0,329935.0,332814.0,335645.0,335915.0,334516.0,333207.0,332169.0,335042.0,341105.0,349709.0,355336.0,355690.0,352249.0,350315.0,348720.0,347344.0,342463.0,341124.0,339960.0,341175.0,340912.0,343112.0,349772.0,354792.0,361314.0,361290.0,359444.0,356771.0,351859.0,350945.0,351150.0,353181.0,358284.0,359655.0,364079.0,363304.0,364775.0,365577.0,368366.0,369915.0,371755.0
395056,17,"San Diego, CA",msa,CA,615972.0,616945.0,612040.0,606891.0,601047.0,598690.0,597251.0,597927.0,604245.0,606331.0,615294.0,615655.0,618776.0,613003.0,615317.0,620238.0,627678.0,632665.0,639410.0,642695.0,642918.0,633843.0,632108.0,647229.0,668013.0,691073.0,696292.0,698335.0,700461.0,705907.0,718379.0,728490.0,742369.0,759812.0,775192.0,783465.0,779483.0,782571.0,785979.0,797442.0,803772.0,816068.0,830899.0,851175.0,872951.0,886385.0,884559.0,871345.0,851131.0,842127.0,834659.0,828817.0,815473.0,803352.0,802681.0,811576.0,823335.0,831351.0,836042.0,846536.0,868470.0,878834.0,879850.0,871210.0,861428.0,861802.0,867057.0,883317.0,893342.0,896418.0,906121.0,905370.0,896800.0,885739.0,889575.0,898613.0,903227.0
395148,18,"Tampa, FL",msa,FL,210042.0,209025.0,209628.0,211928.0,213036.0,212770.0,212952.0,214176.0,216681.0,217983.0,220045.0,222081.0,223400.0,224001.0,224801.0,225743.0,227474.0,229839.0,232542.0,233650.0,235215.0,235382.0,237254.0,239944.0,244683.0,251489.0,256365.0,262289.0,264641.0,267337.0,267894.0,269760.0,273269.0,280219.0,289190.0,295200.0,300598.0,306573.0,312551.0,319139.0,323915.0,334104.0,343772.0,353930.0,359704.0,366209.0,370701.0,373875.0,371231.0,367336.0,366409.0,364139.0,364267.0,359780.0,361931.0,365355.0,369278.0,371988.0,372152.0,374872.0,377101.0,376077.0,376359.0,378399.0,381035.0,382189.0,381828.0,384473.0,385561.0,386631.0,387334.0,386119.0,382124.0,378476.0,379795.0,380518.0,384233.0
394530,19,"Denver, CO",msa,CO,412736.0,411619.0,412068.0,410917.0,412122.0,412806.0,412403.0,413672.0,416274.0,419631.0,421107.0,422845.0,423433.0,424974.0,425818.0,427780.0,428553.0,431790.0,436730.0,446928.0,447562.0,443175.0,436969.0,443840.0,455996.0,469393.0,479837.0,487366.0,488777.0,487152.0,492156.0,509128.0,527994.0,544074.0,552696.0,559500.0,561376.0,563125.0,564008.0,569697.0,576377.0,584494.0,594584.0,606884.0,622328.0,629827.0,630974.0,625133.0,619365.0,615472.0,611302.0,606017.0,597970.0,590389.0,587591.0,588644.0,592425.0,598696.0,596516.0,592829.0,587702.0,588576.0,589004.0,581458.0,573014.0,568524.0,572004.0,581320.0,589842.0,596506.0,600809.0,602907.0,604602.0,601035.0,603114.0,604441.0,608246.0
