RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
102001,0,United States,country,,1237.7365553861273,1243.0412620358175,1248.2560852929735,1253.6860818798239,1257.9224206951512,1262.6256418735259,1267.335761146133,1272.7914969495596,1278.015663346591,1283.0859159172412,1287.9722406411872,1293.0452981500166,1297.6224207290268,1300.9773081025662,1303.1880958193128,1306.4344892183528,1310.3206476619787,1314.8566089665785,1318.893057849886,1323.0659481134905,1326.4874060731936,1330.1490555834614,1333.6149939199463,1337.4537080001835,1343.1558095184473,1350.1365752168067,1358.013249613147,1364.1204666677115,1369.4524771730978,1374.2473357130427,1379.0607845257566,1383.409245773617,1389.1995845316512,1394.1760296719149,1399.428906858906,1404.2726685784482,1409.2835230358935,1414.3191456707186,1419.1807261099782,1424.1309190437737,1428.7029850862882,1433.66203726953,1438.7760525079598,1444.4432667021347,1449.4342244492796,1454.9870489072975,1461.1347388412498,1467.493732734589,1472.4469523329594,1476.8543189098848,1481.4333270099803,1486.6667096179906,1492.557119734612,1498.302905813493,1504.058665426988,1509.5894635823465,1515.1089274120466,1520.5692818705604,1525.4955475124157,1530.4234066216377,1536.0321806625477,1541.877762114854,1547.360711474847,1549.8463068903345,1552.7972309546908,1558.2112654894986,1568.9178975232694,1580.2894834988344,1592.952547357738,1605.2157598663946,1617.2863447496804,1629.2772643649141,1642.2145906268336,1655.2013974382858,1668.6202246663058,1684.4278033055753,1703.9529386212348,1724.3190629513958,1743.775240656502,1763.7159897665397,1783.6528618928355,1802.663930520889,1820.7612528547993,1837.7392503914054,1854.0084609626726,1870.037576118765,1885.2012154216359,1901.775535599496,1915.5338435248307,1930.25781468077,1941.8684357532009,1952.7391477644153,1960.6424192971597,1969.3966562116484,1976.4735744327456,1985.97494502517,1992.8540927905199,2000.3079862154354,2007.27970364376,2015.8451991671689,2023.7758264253403,2030.6949589800952,2038.0780868547001,2046.2973506083877,2054.983726507442,2062.462266832943,2069.702243521737,2076.9202633808395,2086.255328460828,2094.969563343891,2104.0451088851673,2110.315902772215,2117.305251508825,2123.9951785731537,2131.650172850369,2138.5963381110255,2146.3437264880786,2154.510653039632,2163.5862694512953,2171.349390951813,2178.5654723709176
394913,1,"New York, NY",msa,NY,2311.2935521211866,2330.3261764493086,2339.9501593624345,2345.5368457103614,2340.5883118063593,2351.8227678432336,2358.9696825635133,2367.7932432460248,2372.8155479212546,2380.6615645271377,2388.8119298167844,2400.5845473941654,2408.057356266162,2412.5918003598163,2416.046204250679,2422.9260221752897,2429.2243645033086,2430.0496849186666,2435.8320771535477,2438.8261215227126,2438.023123248428,2440.924532497661,2462.4568265898743,2478.804793157107,2495.0996553695095,2498.462203912003,2504.7755163634038,2508.059436786073,2517.1691797826984,2522.889713301892,2531.8942248986023,2535.441275962499,2568.5450049423002,2583.1158790551667,2582.854445289122,2563.802501926033,2564.592858713474,2572.66578797983,2573.0141828905403,2577.9874575937315,2587.357646018561,2597.5588935657606,2606.522423306577,2625.992865612289,2636.0531202722013,2634.4921230394125,2638.778358430939,2640.576737360453,2650.1438847082127,2659.070254311183,2672.064456321216,2682.529602105591,2687.3308157808533,2694.052179783784,2699.540736616157,2700.615904939798,2695.8283574560724,2708.8122586346635,2721.1079153600735,2745.9902349133927,2755.675794075368,2765.3120762503613,2754.4061520460987,2764.7281878112362,2779.4617894895973,2791.6739018180333,2806.579055416178,2821.5082511314604,2845.7288142050925,2845.432660033292,2878.6832758604255,2878.875105536006,2914.3103638377297,2920.8910583834536,2952.886912684293,2974.7285253998034,2991.222391029643,3014.22724625202,3031.095346877065,3057.6212902170796,3073.230139326606,3109.2397923732797,3117.0712618582115,3154.4507393098484,3179.165957238871,3229.109505462468,3241.494560197265,3257.9972395669934,3272.7410553715276,3299.6354345882028,3331.557526274214,3357.8244053169255,3386.4823281182134,3402.554034885857,3415.0429530393976,3416.158013207709,3412.610361376552,3425.9502273423827,3452.3123676670616,3495.493187482785,3514.5340773660673,3521.4620844327137,3524.2881173993756,3533.765782304019,3556.174586099555,3562.8883503999086,3572.104128682429,3584.7456843813234,3623.86350168815,3629.7814449404304,3639.8591133512878,3636.6315108676977,3654.662485470398,3674.76080092151,3697.224368072395,3715.600727153951,3725.144628700904,3750.0441811029104,3780.316842771679,3808.516196757041,3820.2214957273577
753899,2,"Los Angeles, CA",msa,CA,2581.200076332724,2591.4638185109443,2604.130116426256,2608.0341658637994,2616.9194312649515,2628.4769663279203,2645.571168476599,2661.7676521993194,2679.1468974899094,2694.196684069938,2701.5692165428854,2714.540832918798,2726.522390392893,2744.705364503228,2756.635525860216,2765.0642120740413,2778.673947593013,2790.0998694084406,2801.836863697801,2809.391388379741,2815.9558720942778,2822.6491570986177,2828.463971676176,2837.3540379514407,2853.8702463227423,2872.1009640877996,2891.805682044006,2910.2125457802467,2922.518647033746,2932.026595956404,2940.5885556396493,2948.2227349414734,2963.245350443633,2972.0627331598625,2990.655910975955,2999.480344673236,3011.1316302060886,3020.2200083667076,3028.342111958715,3041.992490178485,3045.6652449359517,3060.356210684481,3070.108291347662,3085.710250154195,3097.9043227336524,3111.0029880215093,3129.3264614311815,3141.5112232188017,3151.0324431088143,3151.931331295789,3160.9411886395983,3167.3119753870933,3183.235361953494,3192.2925811749787,3205.2587124837482,3214.902066826408,3223.3710411631187,3234.164401536524,3236.1900415194236,3247.059889128211,3256.966032874893,3274.27585551098,3262.854953734661,3253.5050702524586,3250.3524475570666,3264.685819403747,3292.4223513364677,3306.70339530416,3324.2621840853767,3339.505207112659,3365.6771001521242,3383.359265712942,3405.3224840221537,3423.715900635619,3451.617081188966,3475.813269931999,3504.898928517565,3530.200225170753,3557.4777565794348,3602.7500381007703,3647.47364092827,3685.1562523481157,3711.5343125903205,3744.299458128717,3779.029023264986,3822.536514135922,3861.0935792183645,3901.8038071609653,3931.052656172113,3953.8855993277984,3972.4031297143406,3982.551249529902,3997.1001810143443,4017.48686867989,4034.3252786778203,4047.3026681707897,4042.06828522585,4049.9730687392926,4062.143833077053,4085.515447289998,4100.797518368426,4125.649835253278,4140.335946432928,4170.298888353697,4176.79499540437,4188.98091239054,4202.861773484743,4225.558989049281,4227.60008633546,4240.88169070597,4252.003340008672,4254.582843663784,4268.363081798925,4278.366141880536,4297.863734238881,4306.351758531485,4331.315289228577,4351.096007165373,4373.915820516436,4391.235021496417,4433.887846560066
394463,3,"Chicago, IL",msa,IL,1464.6092182128984,1466.915269294813,1469.7345222592587,1475.6641944016858,1480.9363034221835,1485.4005049088469,1486.5116413653727,1489.0921150889703,1490.7710388418159,1492.7649871888846,1497.7730749472416,1506.9218982514535,1510.7426420332479,1513.2272265423212,1514.9147819393913,1516.855061472915,1517.3244785370555,1518.1413288827948,1523.6055538344149,1531.1930608452838,1532.8190597936207,1536.578287369535,1536.198200477134,1536.2121182884366,1539.8983572602692,1544.4639314346043,1551.6394238166301,1556.6794818358098,1563.2473840313367,1565.4828819374063,1567.3141849998995,1567.794733391697,1571.363693608797,1572.5323902607831,1576.7868056056136,1580.3846941046468,1583.4197623092912,1587.7948032279758,1590.3063580942935,1596.5704370313654,1596.97697342614,1600.1491835601935,1602.842801693387,1606.7588582334836,1612.039632078381,1615.951062278877,1620.7704391857599,1623.276770884311,1629.5865407136107,1630.0092545074363,1632.857289085201,1633.7980410285684,1638.9696069645895,1644.1925158826575,1649.2731102082232,1653.6704598498939,1656.8165034925037,1661.820366602567,1665.4694501159247,1671.188974012969,1673.8027568168682,1680.3498282805335,1682.6185829317783,1684.1470312276028,1683.4347135621695,1685.5446741871494,1691.5843057704487,1699.7752312393811,1701.369110935384,1705.595250500442,1710.6173236128536,1723.3214276362812,1735.4289991975188,1748.7005104813363,1755.8407284871137,1766.1661153851867,1776.6939174075965,1792.8172839013666,1807.2258908652468,1821.8183761133198,1843.193437173966,1859.7324163716494,1878.507524098424,1887.478606061356,1897.83581046471,1903.15809843444,1919.1005431853437,1934.1269172723794,1953.2535111509262,1964.791494328177,1979.8737128195257,1991.1884799170666,1998.5433324802368,2008.4452682942056,2013.6599520585971,2027.0245672403846,2038.3052964027258,2053.4420423848255,2063.261033474186,2071.667450319756,2081.6071770945046,2096.810890289042,2108.4787421600317,2120.6363025418664,2133.5298378386096,2145.3447891495966,2156.7226297072284,2168.799709576483,2180.60417786727,2192.850341094748,2205.3093140384017,2218.8717194102974,2229.2513610792585,2238.1919032455853,2248.5450584319574,2260.5321407956912,2272.7914320489263,2285.738197302525,2301.0328410327825,2313.5263133440026,2327.065583956562
394514,4,"Dallas, TX",msa,TX,1377.214317478073,1383.378989901315,1388.9338731305509,1396.7992918876548,1402.6355182533002,1409.0077840214267,1414.9010677593458,1420.9670923013075,1426.5401048126457,1432.9862791019948,1440.0717699110294,1446.7445801909282,1451.0163755241647,1456.78853896907,1461.7955827069054,1467.1495350531216,1471.6835870134369,1476.8353343036488,1482.5838002393182,1487.8850493962912,1493.4500243509926,1497.4482920787104,1501.4563714289488,1504.3604443843706,1512.370744540167,1519.2655230759447,1529.1610420523734,1535.145082494775,1542.2712409125177,1546.3229946250801,1551.846071822746,1557.0568109948508,1561.855160807004,1567.0246607454692,1572.5333208498298,1580.8136421278368,1586.0136671666605,1590.5473182473866,1592.2098013299662,1597.2389063848264,1599.0053002054142,1606.052193676094,1608.792699741019,1615.192883177384,1620.5038793875633,1625.4222196854064,1628.1591563563122,1633.2992867495534,1638.6877323368062,1644.0345696096638,1649.4309943650228,1653.893848664461,1660.3975494436484,1664.0199544424713,1669.9691682397645,1673.1155618612127,1677.0794493949286,1681.2814404603573,1686.8199673918436,1689.1843202351986,1691.6776397767906,1694.5307776570635,1705.1188686505627,1706.5535201416012,1707.9910062147758,1712.4390351990562,1722.3705842118923,1732.8646209530382,1743.9962503996994,1757.0025090572744,1771.1561617907846,1787.4359779241502,1804.5741328052006,1819.6113757491091,1834.1118984648508,1851.4846293298908,1874.314199222147,1897.1444085069434,1921.4156031939485,1946.2666758968487,1972.425221228883,1996.3223317517677,2014.7062996434402,2030.343399118965,2044.8730498777688,2063.4057454680274,2079.7551075652937,2099.4853168223185,2116.2592089172585,2136.3248771376425,2149.225174380214,2159.603119673812,2167.2507735244903,2177.8945415212384,2188.5628031214524,2199.4711682949483,2204.2486670358003,2210.1506747718026,2214.946364662449,2219.8770883789116,2227.7500946341042,2234.685416170332,2242.942870070315,2248.937253906597,2252.628911209727,2254.168149772198,2261.1128921731674,2269.079853289239,2278.09952231036,2285.3287323633153,2293.654266952728,2298.7960221152107,2301.084786160057,2301.531363951255,2303.328996347072,2307.2214170981924,2313.1785566704466,2318.94619329041,2320.834830879932,2321.3560678743625,2323.2876237837295
394692,5,"Houston, TX",msa,TX,1486.6087959064494,1493.0499460109738,1500.4404347438142,1502.5451561225734,1503.080896088246,1503.302005696154,1505.611453574444,1508.8852211546193,1510.1425343698595,1513.1354170547936,1516.2707787046938,1517.2152160676903,1519.0034396729968,1517.7340736337078,1519.146759462743,1515.6344852181483,1513.078799007348,1511.4402000467594,1512.2455944213934,1512.9104439115863,1510.0864769637005,1507.4981120753876,1504.3224959137451,1504.584675227527,1506.954206399377,1514.3914241290568,1521.595093795946,1525.4528595247593,1527.1356823199174,1527.7794067343475,1530.6881330575886,1533.0464043502316,1543.5070246508349,1553.721621514399,1563.89120380396,1568.2245910764632,1572.3033993993824,1574.3303017127464,1574.3273927533965,1573.5786655350794,1575.113862769083,1579.1009328243338,1581.172929032477,1584.9753479197786,1585.431647160991,1586.9770852812173,1586.8787104275648,1589.4835907417469,1591.6612982837364,1595.1773852815431,1598.3553385799717,1604.8748143100158,1610.5285843410495,1614.584372422243,1618.4103597797414,1621.2161342136253,1623.4089078250265,1624.9199543243144,1627.995029983458,1631.341415736852,1634.8251701477757,1637.3491432287185,1640.8945676403073,1640.6111289305104,1640.8481671480865,1640.4520683509472,1651.169772177141,1662.1860240558126,1673.9173772856007,1681.506729370035,1690.7232761331811,1701.6936383100679,1715.5224470139194,1727.5926081592734,1738.5103750803585,1750.4740987902119,1767.0007737939886,1783.4502996780354,1793.240068844657,1805.70462100089,1818.9846718612982,1838.086096048036,1851.9472144063984,1864.8350645163812,1875.4759473896947,1885.8419630982273,1893.7480769800823,1904.9149176082078,1914.1538120019961,1928.6271248552923,1938.1812760089147,1948.3042351751767,1953.647748132115,1963.191701636493,1967.206498089203,1974.1179558556985,1976.996080879554,1984.1983485539618,1993.2725359811934,2000.0693212904139,2008.2664361473678,2014.1201037201329,2024.6516901417988,2030.452229882025,2036.0762330016494,2037.059731204942,2042.9907684968205,2047.9298302321065,2057.36944820159,2063.3061524632703,2068.989917704312,2074.480926765392,2078.576913559627,2081.6633319541093,2084.534221032175,2090.0033660525046,2097.63675685216,2105.435309071545,2113.0467544010808,2119.8919956557497,2125.4192866829358
395209,6,"Washington, DC",msa,VA,2008.644387078132,2018.5156750030528,2026.4892927859528,2028.7791949969414,2028.591882693574,2030.5310933835146,2032.655637933293,2034.1664497273969,2041.3247999084942,2045.5991527105787,2054.7846610671863,2056.436110054303,2062.2948611837137,2062.9655255396247,2063.5933711829903,2062.7206879578025,2067.123692203391,2070.523800148001,2076.1775889728206,2081.9893758800476,2083.0707504907946,2088.552941690882,2088.9293917583827,2094.1630406577697,2097.8425389793333,2104.6917935228244,2113.039447944428,2117.9818587720783,2121.0608903310363,2123.638950581058,2127.6826351777913,2130.236785298555,2136.2821764898963,2139.058785501817,2143.539314562187,2151.2568255459414,2155.1928170427996,2159.4615263036408,2160.990390449482,2166.3190559713953,2171.123194321672,2175.4627966250805,2180.3727932691604,2186.186179458414,2188.302883940202,2192.2163961540123,2201.497621991411,2209.8602396896936,2213.071259499128,2215.7065440196507,2221.856083938296,2227.280802134109,2233.0843757154526,2239.6572286036535,2244.621335503324,2249.5908259650273,2256.561960332131,2262.9593932006856,2265.333871609851,2266.1199837872537,2273.025367734813,2279.7884016199696,2290.8659916683023,2291.781943937863,2293.633158639053,2294.3973741892846,2302.6232921280825,2312.609387004326,2323.915760621954,2330.1866648241103,2338.287837735388,2346.791530727812,2361.969594562492,2368.5692837274823,2378.171910619845,2387.8636479064667,2408.487510294376,2426.411755506474,2443.2635083689047,2458.264839578867,2473.4640674089906,2495.2347528377386,2510.779759611604,2525.8442442175137,2534.68466053095,2553.905230372935,2569.7621639689196,2592.963400337637,2605.639500601763,2620.2673603136286,2629.2177297840376,2639.820344349307,2653.845497641362,2663.7014716758526,2676.160708612916,2694.785922055985,2706.6780357473854,2719.5131742571352,2722.9894768531753,2728.6048298366595,2740.154045521572,2751.6750551080904,2769.0072521259744,2783.2094340639937,2799.079678192648,2815.468523335264,2827.813330454251,2838.6740703863798,2844.1049929131723,2854.8804809184253,2873.889176327868,2887.6193275662727,2899.5052814410437,2910.9286010247397,2920.5327893347144,2932.012840398672,2940.253897645705,2948.841985323674,2960.4870983683913,2970.1108074134922,2988.4726079020197
394974,7,"Philadelphia, PA",msa,PA,1299.9845459790054,1305.9842185942446,1312.2507136769375,1316.516783710569,1317.58727847939,1318.0363377308383,1321.271954689324,1324.0896133518147,1329.8185534234697,1334.6130356939175,1334.0210310245118,1335.7806725178664,1336.2649136488294,1341.7438717435396,1344.023295447236,1348.0148578565745,1351.7552154738898,1358.0432899694702,1361.563779827105,1364.6153898945358,1364.4582460076551,1365.5395837480116,1372.4205058515397,1377.9106080132879,1385.4381393311687,1388.0940305968693,1392.9242079937771,1395.6909248499699,1398.393923340913,1398.633140059586,1402.417579028849,1408.2731006726647,1414.7218457583976,1419.1964141267922,1422.0855248307425,1426.6189839106069,1428.0912473116045,1431.4233889474554,1436.7814524560788,1443.711348043806,1450.4099723076365,1453.5357008527512,1455.9319202501879,1458.4490697748038,1464.1859505487482,1470.7737861385817,1477.3265657514978,1479.3423328336632,1484.869007744289,1489.397990196699,1492.9532529239236,1496.13987554279,1499.833403799518,1507.1396448603546,1513.8610939081432,1519.6845611197857,1523.4226272249305,1527.3674755607426,1531.220576160725,1538.1600365150416,1543.70199877429,1550.1739254151455,1552.709370867655,1555.2637147251787,1557.8179964603328,1562.1427265587674,1573.5318732459896,1583.5319301916256,1597.2399659199282,1603.5355446659105,1612.021930071623,1617.7500734884538,1629.8136647418532,1641.837817984387,1649.6663193333281,1663.3620017966562,1677.7361118840795,1692.0660358333669,1703.063264488423,1716.2011569696997,1721.8211651739161,1736.6462681346238,1750.7978328460608,1776.4507555279818,1789.8936673329151,1798.9754177452235,1809.0076030663306,1819.4248166581112,1832.0169352290015,1846.8255390315724,1860.759607138086,1874.3114678804757,1882.1048924867596,1884.539246086723,1889.432222940543,1890.7789201829175,1900.2553456090727,1909.6102761300385,1921.044343015684,1932.1795468701011,1939.480896445172,1947.646101845026,1956.018190609506,1963.8995238226687,1976.7360529454027,1991.4165195213168,2002.6272774584947,2004.5569463956651,2013.4458477833598,2023.108871301196,2031.5981739685517,2038.8993364678163,2048.02875316926,2055.4036125675043,2063.6802513887387,2072.1351181413306,2081.1994346715815,2089.709454666397,2099.7885577232814,2116.5375883102847,2126.2116944565
394856,8,"Miami, FL",msa,FL,1715.5279902695995,1724.387432511563,1735.7145705413388,1746.7606371054635,1752.2052293880447,1758.690717822749,1766.7245928478985,1774.8271801348528,1785.7353981522176,1792.202365694445,1804.3294064003103,1811.866904324696,1823.4630488053276,1824.099736473884,1827.793770850412,1827.7068327416616,1835.891916916009,1837.4280627658131,1840.9210696290409,1842.5884879047596,1848.22765643546,1852.6414453073885,1858.6894792576866,1861.8278399707162,1868.5359713597713,1878.6281854422946,1888.501913964114,1894.82910749753,1896.8114411871481,1904.4808960552484,1912.7882171826102,1922.3284348466975,1926.3398702662557,1931.8895223235133,1932.8804996840665,1940.4128415856876,1947.5144506547394,1956.1752471279651,1959.7470836305483,1967.1974608855187,1974.0343132899527,1978.9097399284058,1984.4881718470374,1991.1620318981898,1998.5198725154626,2003.1372433175338,2008.533238968689,2013.2697583689612,2019.4012900589405,2023.1297378753638,2029.5013628869185,2035.6777321120796,2043.0988752535543,2050.726329948817,2057.228382279507,2062.824285345529,2069.9352017048745,2078.9708947800577,2089.4329019870042,2098.160409513011,2105.475175106564,2113.8389881802086,2116.269107265221,2121.595220178422,2121.3113243717935,2130.2220574918642,2144.2018327402707,2159.7852774470493,2176.7579819839484,,2235.140926528651,2264.1692740495587,2280.21650381871,2305.397641914656,2324.6128433315525,2354.3104742831133,2392.927292438043,2441.1443634125726,2498.82982490108,2551.528137361672,2619.6451684325884,2663.752136351968,2725.658291728191,2775.9470714004638,2846.0435894940892,2895.709353942596,2947.123110180289,2999.067133084492,3053.756814425552,3099.1557664718284,3126.777927387684,3149.6467044456913,3150.4982639327577,3161.6226076352746,3164.563140746939,3182.121269850097,3187.3807969857644,3192.169880891605,3193.3822695549597,3203.9134240808316,3216.142258711348,3237.0629209512686,3243.209344553959,3255.747453265664,3267.2275169329787,3292.7363735864315,3302.7143530815474,3300.210133711328,3303.9715812707345,3319.1361370375653,3336.7000109393016,3342.821624104247,3343.020473304308,3337.435626698901,3348.6391764711443,3357.41893707592,3372.895644639057,3376.72144053496,3391.2876286375867,3409.768564050892,3424.3362605706275
394347,9,"Atlanta, GA",msa,GA,1089.3647562108563,1094.2353753346067,1096.7727529926171,1103.291200674664,1107.0570861408721,1114.2063775998975,1118.872874432771,1123.8376796787677,1128.613643634035,1133.679255508671,1136.9250353424113,1141.5541316814129,1147.9067982948905,1155.7680489038646,1160.7560362641593,1163.8398147675991,1167.403503699317,1172.4325216738346,1178.7149515894102,1185.5489794025473,1190.0249927919747,1195.4214245629914,1199.207506402528,1204.26316920903,1209.2511390622128,1215.6935240986609,1224.526662563033,1232.0627655113979,1239.7628934238555,1245.8017918427818,1254.1319305626093,1260.2808878356288,1267.9818959205895,1270.0489435674356,1278.0453721767421,1282.7056032715961,1291.0285176318898,1294.8165221380575,1302.1677932528057,1308.9856719339236,1316.556890520158,1320.5149069421948,1324.8388547847794,1329.77363238514,1336.6526672354219,1346.596208886928,1354.8599668593224,1362.8234723093285,1368.649169122619,1375.0208884831784,1379.5901903610775,1385.6301470894405,1391.091988487162,1399.952509331247,1407.2094385995786,1415.038444854185,1421.0638990475616,1427.395882425328,1432.4140370427099,1439.145109578962,1445.652703246058,1453.7974386310125,1461.5684793585024,1467.9873803666371,1475.8533534530059,1484.830634691239,1498.0924256395076,1511.8009065560689,1527.7596308255122,1543.0554248779358,1559.4327372571954,1576.3084506598802,1596.2991330490206,1617.655983673251,1638.5713689182408,1662.439490150137,1685.2123487999447,1709.1461341906768,1730.1558204126745,1756.5870469691788,1781.1443977651945,1807.6107777525103,1827.7766320903445,1841.7554516523492,1853.6197300995468,1862.3970484483134,1876.274541866454,1888.4481938585564,1904.5479163669854,1921.794995079785,1941.4143025725944,1955.0272869053133,1966.8493572840412,1976.9239230741916,1986.5417574305686,2001.161957644775,2003.7436225295369,2007.2246000422688,2008.4882367639777,2016.938934700582,2023.2530732756795,2023.1734803904021,2025.3925874452405,2028.1387898294265,2034.2404146328413,2034.1569945108574,2036.8995610496586,2041.1801881050346,2058.7893227615577,2072.366088602308,2084.3771835136154,2090.30137508501,2095.412623793466,2104.098413826157,2109.9454671304356,2116.8732229632474,2122.16527479816,2132.4654293844046,2141.8043307228977,2148.3025556991074,2150.0998488061277
